incident_date,incident_location,incident_description,offender_info,user_reaction,evidence,incident_type
2024-09-01,도서관,따라오며 위협감을 주었습니다.,송 모 이웃주민,사진/동영상 증거를 확보함,주변 상점 CCTV,일반 괴롭힘
2024-02-01,회식 장소,부적절한 신체 접촉을 시도했습니다.,신 모 사원,문제제기하고 사과를 요구함,사내 CCTV 영상,직장 내 괴롭힘
2024-08-29,계단,업무 시간 외 지속적으로 연락을 시도했습니다.,최 모 대리,거절 의사를 분명히 표현함,업무 이메일 내역,직장 내 괴롭힘
2024-02-27,회식 장소,회의 중 반복적으로 비하성 발언을 했습니다.,임 모 차장,노동조합에 도움을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-03-24,휴게실,강제로 술을 권하며 불쾌한 행동을 했습니다.,강 모 거래처 직원,다른 동료들과 함께 퇴근함,업무 이메일 내역,직장 내 괴롭힘
2024-07-07,카페테리아,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,송 모 계약직,문제제기하고 사과를 요구함,동료들의 진술서,직장 내 괴롭힘
2024-02-13,수영장,반복적으로 시선을 강요했습니다.,박 모 온라인 지인,방범대/경비실에 신고함,112 신고 기록,일반 괴롭힘
2024-04-01,지하철,고의적으로 밀치거나 충돌했습니다.,권 모 배달원,방범대/경비실에 신고함,목격자 증언,일반 괴롭힘
2024-10-28,복도,부적절한 신체 접촉을 시도했습니다.,안 모 계약직,거절 의사를 분명히 표현함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-12,회식 장소,외모에 대한 부적절한 발언을 했습니다.,신 모 계약직,회사 내 고충처리절차를 진행함,동료들의 진술서,직장 내 괴롭힘
2024-01-31,도서관,반복적으로 접근을 시도했습니다.,최 모 이웃주민,사진/동영상 증거를 확보함,블랙박스 영상,일반 괴롭힘
2024-08-18,아파트 복도,불필요한 신체 접촉을 시도했습니다.,류 모 집주인,112에 신고하고 대기함,112 신고 기록,일반 괴롭힘
2024-02-24,카페테리아,부적절한 신체 접촉을 시도했습니다.,송 모 인턴,자리를 피해 즉시 귀가함,회사 출입 기록,직장 내 괴롭힘
2024-12-16,아파트 엘리베이터,지속적으로 쳐다보며 불쾌감을 주었습니다.,정 모 전 연인,경찰에 신고함,주변 상점 CCTV,일반 괴롭힘
2024-08-16,주택가 골목길,지속적으로 쳐다보며 불쾌감을 주었습니다.,안 모 전 직장동료,주변에 도움을 요청함,공공장소 CCTV 영상,일반 괴롭힘
2024-02-06,엘리베이터,성차별적 발언으로 불쾌감을 주었습니다.,황 모 외부 강사,불편함을 표시하고 상사에게 보고함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-09,야유회 장소,업무 시간 외 지속적으로 연락을 시도했습니다.,강 모 거래처 직원,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-24,버스,반복적으로 시선을 강요했습니다.,정 모 매장직원,방범대/경비실에 신고함,SNS 메시지 캡처,일반 괴롭힘
2024-11-12,아파트 주차장,반복적으로 접근을 시도했습니다.,신 모 집주인,즉시 자리를 피해 안전한 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-07-21,사내 주차장,회의 중 반복적으로 비하성 발언을 했습니다.,이 모 차장,직장 내 상담센터에 상담을 요청함,사내 보안카메라 영상,직장 내 괴롭힘
2024-09-25,회의실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,전 모 사원,거절 의사를 분명히 표현함,회사 전화 통화 기록,직장 내 괴롭힘
2024-03-15,아파트 엘리베이터,큰 소리로 위협적인 발언을 했습니다.,박 모 이웃주민,즉시 자리를 피해 안전한 곳으로 이동함,휴대폰 촬영 영상,일반 괴롭힘
2024-04-27,마트,큰 소리로 위협적인 발언을 했습니다.,조 모 전 직장동료,사진/동영상 증거를 확보함,블랙박스 영상,일반 괴롭힘
2024-12-13,카페테리아,업무 시간 외 지속적으로 연락을 시도했습니다.,안 모 협력사 직원,회사 내 고충처리절차를 진행함,회의록,직장 내 괴롭힘
2024-02-23,버스,고의적으로 밀치거나 충돌했습니다.,장 모 매장직원,방범대/경비실에 신고함,차량 블랙박스 영상,일반 괴롭힘
2024-05-13,워크숍,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,임 모 보안 요원,다른 동료들과 함께 퇴근함,동료들의 진술서,직장 내 괴롭힘
2024-02-07,엘리베이터,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,전 모 협력사 직원,다른 동료들과 함께 퇴근함,회사 전화 통화 기록,직장 내 괴롭힘
2024-10-03,식당,집까지 따라왔습니다.,서 모 서비스직원,주변 상점/기관에 도움을 요청함,SNS 메시지 캡처,일반 괴롭힘
2024-12-22,휴게실,회의 중 반복적으로 비하성 발언을 했습니다.,정 모 인턴,회사 내 고충처리절차를 진행함,동료들의 진술서,직장 내 괴롭힘
2024-09-02,주택가 골목길,길을 막고 지나가지 못하게 했습니다.,황 모 이웃주민,방범대/경비실에 신고함,휴대폰 촬영 영상,일반 괴롭힘
2024-02-15,마트,주변을 맴돌며 불안감을 조성했습니다.,신 모 택배기사,사진/동영상 증거를 확보함,블랙박스 영상,일반 괴롭힘
2024-10-31,회의실,부적절한 신체 접촉을 시도했습니다.,권 모 알바생,다른 동료들과 함께 퇴근함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-05-01,프린터실,부적절한 신체 접촉을 시도했습니다.,장 모 거래처 직원,회사 내 고충처리절차를 진행함,회의록,직장 내 괴롭힘
2024-02-05,사내 메신저,성차별적 발언으로 불쾌감을 주었습니다.,최 모 협력사 직원,노동조합에 도움을 요청함,업무 문서 사본,직장 내 괴롭힘
2024-11-03,도서관,불필요한 신체 접촉을 시도했습니다.,송 모 모르는 사람,112에 신고하고 대기함,블랙박스 영상,일반 괴롭힘
2024-06-13,구내식당,퇴근 시간에 강제로 배웅을 하려 했습니다.,장 모 계약직,답장하지 않고 증거로 보관함,인사팀 면담 기록,직장 내 괴롭힘
2024-08-10,회의실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,조 모 보안 요원,불편함을 표시하고 상사에게 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-06-21,휴게실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,한 모 사원,다른 동료들과 함께 퇴근함,사내 CCTV 영상,직장 내 괴롭힘
2024-12-30,카페테리아,퇴근 시간에 강제로 배웅을 하려 했습니다.,류 모 협력사 직원,거절 의사를 분명히 표현함,사내 보안카메라 영상,직장 내 괴롭힘
2024-01-02,회의실,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,정 모 사원,다른 동료들과 함께 퇴근함,회의록,직장 내 괴롭힘
2024-11-20,수영장,큰 소리로 위협적인 발언을 했습니다.,임 모 강사,주변 상점/기관에 도움을 요청함,112 신고 기록,일반 괴롭힘
2024-11-09,구내식당,외모에 대한 부적절한 발언을 했습니다.,권 모 알바생,불편함을 표시하고 상사에게 보고함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-09-11,회의실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,최 모 차장,회사 내 고충처리절차를 진행함,회사 전화 통화 기록,직장 내 괴롭힘
2024-06-02,마트,반복적으로 접근을 시도했습니다.,안 모 세입자,경찰에 신고함,공공장소 CCTV 영상,일반 괴롭힘
2024-06-07,마트,사진을 무단으로 촬영했습니다.,오 모 전 직장동료,112에 신고하고 대기함,공공장소 CCTV 영상,일반 괴롭힘
2024-09-16,아파트 복도,원치 않는 대화를 강요했습니다.,최 모 강사,사진/동영상 증거를 확보함,SNS 메시지 캡처,일반 괴롭힘
2024-09-18,아파트 현관,집까지 따라왔습니다.,서 모 배달원,경찰에 신고함,주변 상점 CCTV,일반 괴롭힘
2024-10-31,아파트 주차장,길을 막고 지나가지 못하게 했습니다.,오 모 이웃주민,112에 신고하고 대기함,휴대폰 촬영 영상,일반 괴롭힘
2024-08-22,사내 주차장,회식 자리에서 특정 자리에 앉도록 강요했습니다.,임 모 대리,다른 동료들과 함께 퇴근함,회의록,직장 내 괴롭힘
2024-04-26,회의실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,황 모 계약직,불편함을 표시하고 상사에게 보고함,회사 출입 기록,직장 내 괴롭힘
2024-03-18,수영장,큰 소리로 위협적인 발언을 했습니다.,김 모 택배기사,목격자를 확보하려 노력함,목격자 증언,일반 괴롭힘
2024-12-04,탕비실,업무 분담에서 의도적인 차별을 했습니다.,서 모 인턴,회사 내 고충처리절차를 진행함,동료들의 진술서,직장 내 괴롭힘
2024-01-23,워크숍,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,김 모 차장,직장 내 상담센터에 상담을 요청함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-28,엘리베이터,성차별적 발언으로 불쾌감을 주었습니다.,장 모 외부 강사,즉시 자리를 피했으며 인사팀에 보고함,회사 전화 통화 기록,직장 내 괴롭힘
2024-06-06,버스,지속적으로 쳐다보며 불쾌감을 주었습니다.,한 모 배달원,경찰에 신고함,공공장소 CCTV 영상,일반 괴롭힘
2024-09-07,회의실,퇴근 시간에 강제로 배웅을 하려 했습니다.,권 모 시설 관리자,회사 내 고충처리절차를 진행함,사내 보안카메라 영상,직장 내 괴롭힘
2024-05-03,도서관,고의적으로 밀치거나 충돌했습니다.,김 모 서비스직원,주변 상점/기관에 도움을 요청함,차량 블랙박스 영상,일반 괴롭힘
2024-05-21,버스,원치 않는 대화를 강요했습니다.,임 모 매장직원,목격자를 확보하려 노력함,차량 블랙박스 영상,일반 괴롭힘
2024-11-10,도서관,원치 않는 대화를 강요했습니다.,정 모 경비원,목격자를 확보하려 노력함,블랙박스 영상,일반 괴롭힘
2024-06-19,아파트 주차장,부적절한 신체 노출을 했습니다.,황 모 모르는 사람,즉시 자리를 피해 안전한 곳으로 이동함,공공장소 CCTV 영상,일반 괴롭힘
2024-07-07,아파트 복도,반복적으로 시선을 강요했습니다.,장 모 집주인,목격자를 확보하려 노력함,SNS 메시지 캡처,일반 괴롭힘
2024-05-09,사무실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,전 모 과장,즉시 자리를 피했으며 인사팀에 보고함,사내 보안카메라 영상,직장 내 괴롭힘
2024-12-02,엘리베이터,회식 자리에서 특정 자리에 앉도록 강요했습니다.,장 모 부장,불편함을 표시하고 상사에게 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-02-26,체육관,반복적으로 접근을 시도했습니다.,한 모 택배기사,다른 사람들이 있는 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-06-08,수영장,반복적으로 시선을 강요했습니다.,조 모 이웃주민,경찰에 신고함,공공장소 CCTV 영상,일반 괴롭힘
2024-10-24,카페,따라오며 위협감을 주었습니다.,한 모 택배기사,목격자를 확보하려 노력함,휴대폰 촬영 영상,일반 괴롭힘
2024-07-16,탕비실,불필요한 사적인 만남을 강요했습니다.,최 모 차장,불편함을 표시하고 상사에게 보고함,사내 CCTV 영상,직장 내 괴롭힘
2024-02-17,주택가 골목길,원치 않는 대화를 강요했습니다.,전 모 전 직장동료,다른 사람들이 있는 곳으로 이동함,주변 상점 CCTV,일반 괴롭힘
2024-05-09,도서관,불필요한 신체 접촉을 시도했습니다.,조 모 택배기사,주변 상점/기관에 도움을 요청함,방범용 카메라 영상,일반 괴롭힘
2024-10-30,휴게실,회의 중 반복적으로 비하성 발언을 했습니다.,최 모 부장,답장하지 않고 증거로 보관함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-20,복도,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,한 모 거래처 직원,거절 의사를 분명히 표현함,인사팀 면담 기록,직장 내 괴롭힘
2024-12-07,휴게실,업무와 무관한 개인적인 메시지를 보냈습니다.,이 모 사원,다른 동료들과 함께 퇴근함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-19,복도,퇴근 시간에 강제로 배웅을 하려 했습니다.,오 모 거래처 직원,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-04-24,엘리베이터,업무 분담에서 의도적인 차별을 했습니다.,황 모 보안 요원,불편함을 표시하고 상사에게 보고함,회사 출입 기록,직장 내 괴롭힘
2024-05-06,엘리베이터,외모에 대한 부적절한 발언을 했습니다.,이 모 이사,문제제기하고 사과를 요구함,사내 CCTV 영상,직장 내 괴롭힘
2024-11-05,복도,회식 자리에서 특정 자리에 앉도록 강요했습니다.,신 모 계약직,거절 의사를 분명히 표현함,업무 이메일 내역,직장 내 괴롭힘
2024-08-13,회식 장소,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,김 모 시설 관리자,노동조합에 도움을 요청함,회사 출입 기록,직장 내 괴롭힘
2024-11-03,아파트 주차장,고의적으로 밀치거나 충돌했습니다.,박 모 세입자,방범대/경비실에 신고함,목격자 증언,일반 괴롭힘
2024-10-27,체육관,길을 막고 지나가지 못하게 했습니다.,안 모 배달원,목격자를 확보하려 노력함,목격자 증언,일반 괴롭힘
2024-01-02,아파트 주차장,집까지 따라왔습니다.,이 모 택배기사,다른 사람들이 있는 곳으로 이동함,목격자 증언,일반 괴롭힘
2024-10-14,엘리베이터,업무와 무관한 개인적인 메시지를 보냈습니다.,이 모 사원,회사 내 고충처리절차를 진행함,회사 전화 통화 기록,직장 내 괴롭힘
2024-12-17,사무실,업무와 무관한 개인적인 메시지를 보냈습니다.,조 모 계약직,답장하지 않고 증거로 보관함,업무 문서 사본,직장 내 괴롭힘
2024-02-24,탕비실,퇴근 시간에 강제로 배웅을 하려 했습니다.,류 모 차장,즉시 자리를 피했으며 인사팀에 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-06-18,복도,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,장 모 계약직,회사 내 고충처리절차를 진행함,업무 문서 사본,직장 내 괴롭힘
2024-05-27,사무실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,전 모 알바생,다른 동료들과 함께 퇴근함,회의록,직장 내 괴롭힘
2024-06-03,아파트 주차장,주변을 맴돌며 불안감을 조성했습니다.,강 모 전 연인,경찰에 신고함,112 신고 기록,일반 괴롭힘
2024-10-07,프린터실,퇴근 시간에 강제로 배웅을 하려 했습니다.,이 모 과장,직장 내 상담센터에 상담을 요청함,회사 전화 통화 기록,직장 내 괴롭힘
2024-04-16,프린터실,업무 분담에서 의도적인 차별을 했습니다.,신 모 인턴,다른 동료들과 함께 퇴근함,업무 문서 사본,직장 내 괴롭힘
2024-05-21,프린터실,성차별적 발언으로 불쾌감을 주었습니다.,김 모 이사,회사 내 고충처리절차를 진행함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-03-01,지하철,반복적으로 시선을 강요했습니다.,안 모 지인,다른 사람들이 있는 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-01-07,사내 메신저,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,신 모 인턴,문제제기하고 사과를 요구함,업무 이메일 내역,직장 내 괴롭힘
2024-06-04,공원,불필요한 신체 접촉을 시도했습니다.,황 모 배달원,주변에 도움을 요청함,주변 상점 CCTV,일반 괴롭힘
2024-05-25,사내 메신저,회의 중 반복적으로 비하성 발언을 했습니다.,류 모 과장,즉시 자리를 피했으며 인사팀에 보고함,회의록,직장 내 괴롭힘
2024-09-12,계단,회의 중 반복적으로 비하성 발언을 했습니다.,송 모 차장,불편함을 표시하고 상사에게 보고함,사내 CCTV 영상,직장 내 괴롭힘
2024-11-09,사무실,업무와 무관한 개인적인 메시지를 보냈습니다.,류 모 대리,문제제기하고 사과를 요구함,인사팀 면담 기록,직장 내 괴롭힘
2024-07-03,야유회 장소,회의 중 반복적으로 비하성 발언을 했습니다.,권 모 부장,회사 내 고충처리절차를 진행함,회사 전화 통화 기록,직장 내 괴롭힘
2024-09-29,복도,부적절한 신체 접촉을 시도했습니다.,김 모 사원,답장하지 않고 증거로 보관함,인사팀 면담 기록,직장 내 괴롭힘
2024-11-17,지하철,주변을 맴돌며 불안감을 조성했습니다.,류 모 서비스직원,주변 상점/기관에 도움을 요청함,112 신고 기록,일반 괴롭힘
2024-12-21,사내 주차장,외모에 대한 부적절한 발언을 했습니다.,류 모 협력사 직원,문제제기하고 사과를 요구함,인사팀 면담 기록,직장 내 괴롭힘
2024-11-13,복도,성차별적 발언으로 불쾌감을 주었습니다.,김 모 보안 요원,다른 동료들과 함께 퇴근함,업무 이메일 내역,직장 내 괴롭힘
2024-10-24,사내 메신저,업무 평가와 관련하여 사적인 만남을 요구했습니다.,이 모 대표,불편함을 표시하고 상사에게 보고함,회사 출입 기록,직장 내 괴롭힘
2024-03-09,지하철,지속적으로 쳐다보며 불쾌감을 주었습니다.,박 모 경비원,경찰에 신고함,목격자 연락처,일반 괴롭힘
2024-10-28,수영장,주변을 맴돌며 불안감을 조성했습니다.,조 모 서비스직원,112에 신고하고 대기함,목격자 연락처,일반 괴롭힘
2024-04-13,아파트 현관,부적절한 신체 노출을 했습니다.,안 모 이웃주민,방범대/경비실에 신고함,휴대폰 촬영 영상,일반 괴롭힘
2024-10-06,영화관,따라오며 위협감을 주었습니다.,권 모 서비스직원,사진/동영상 증거를 확보함,SNS 메시지 캡처,일반 괴롭힘
2024-03-31,탕비실,강제로 술을 권하며 불쾌한 행동을 했습니다.,임 모 알바생,문제제기하고 사과를 요구함,회의록,직장 내 괴롭힘
2024-12-21,계단,불필요한 사적인 만남을 강요했습니다.,이 모 인턴,거절 의사를 분명히 표현함,업무 이메일 내역,직장 내 괴롭힘
2024-06-09,사내 주차장,외모에 대한 부적절한 발언을 했습니다.,이 모 대표,노동조합에 도움을 요청함,사내 CCTV 영상,직장 내 괴롭힘
2024-03-10,아파트 복도,원치 않는 선물을 강요했습니다.,전 모 전 연인,다른 사람들이 있는 곳으로 이동함,112 신고 기록,일반 괴롭힘
2024-05-08,회의실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,이 모 외부 강사,다른 동료들과 함께 퇴근함,회사 전화 통화 기록,직장 내 괴롭힘
2024-12-05,구내식당,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,안 모 과장,회사 내 고충처리절차를 진행함,회사 출입 기록,직장 내 괴롭힘
2024-03-10,프린터실,업무 시간 외 지속적으로 연락을 시도했습니다.,이 모 계약직,거절 의사를 분명히 표현함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-14,휴게실,불필요한 사적인 만남을 강요했습니다.,안 모 시설 관리자,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-08-02,탕비실,업무 분담에서 의도적인 차별을 했습니다.,강 모 시설 관리자,거절 의사를 분명히 표현함,사내 보안카메라 영상,직장 내 괴롭힘
2024-01-06,계단,부적절한 신체 접촉을 시도했습니다.,박 모 대리,노동조합에 도움을 요청함,사내 보안카메라 영상,직장 내 괴롭힘
2024-11-24,아파트 주차장,고의적으로 밀치거나 충돌했습니다.,서 모 배달원,다른 사람들이 있는 곳으로 이동함,방범용 카메라 영상,일반 괴롭힘
2024-05-03,회식 장소,강제로 술을 권하며 불쾌한 행동을 했습니다.,전 모 대표,불편함을 표시하고 상사에게 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-08-06,프린터실,업무와 무관한 개인적인 메시지를 보냈습니다.,서 모 대리,회사 내 고충처리절차를 진행함,회사 출입 기록,직장 내 괴롭힘
2024-08-19,계단,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,최 모 부장,거절 의사를 분명히 표현함,사내 보안카메라 영상,직장 내 괴롭힘
2024-07-09,아파트 주차장,원치 않는 대화를 강요했습니다.,장 모 세입자,목격자를 확보하려 노력함,목격자 증언,일반 괴롭힘
2024-10-06,회의실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,윤 모 대리,즉시 자리를 피했으며 인사팀에 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-08-06,수영장,지속적으로 쳐다보며 불쾌감을 주었습니다.,황 모 세입자,방범대/경비실에 신고함,방범용 카메라 영상,일반 괴롭힘
2024-11-02,복도,퇴근 시간에 강제로 배웅을 하려 했습니다.,전 모 부장,노동조합에 도움을 요청함,사내 CCTV 영상,직장 내 괴롭힘
2024-10-13,계단,업무 분담에서 의도적인 차별을 했습니다.,한 모 차장,불편함을 표시하고 상사에게 보고함,인사팀 면담 기록,직장 내 괴롭힘
