incident_date,incident_location,incident_description,offender_info,user_reaction,evidence,incident_type
2024-01-12,탕비실,퇴근 시간에 강제로 배웅을 하려 했습니다.,황 모 보안 요원,직장 내 상담센터에 상담을 요청함,사내 보안카메라 영상,직장 내 괴롭힘
2024-06-23,사무실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,강 모 대표,불편함을 표시하고 상사에게 보고함,동료들의 진술서,직장 내 괴롭힘
2024-09-08,회의실,부적절한 신체 접촉을 시도했습니다.,신 모 거래처 직원,노동조합에 도움을 요청함,업무 이메일 내역,직장 내 괴롭힘
2024-11-25,휴게실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,임 모 협력사 직원,답장하지 않고 증거로 보관함,사내 보안카메라 영상,직장 내 괴롭힘
2024-01-18,야유회 장소,업무와 무관한 개인적인 메시지를 보냈습니다.,한 모 알바생,거절 의사를 분명히 표현함,회사 전화 통화 기록,직장 내 괴롭힘
2024-07-26,계단,업무 시간 외 지속적으로 연락을 시도했습니다.,강 모 대리,즉시 자리를 피했으며 인사팀에 보고함,회사 출입 기록,직장 내 괴롭힘
2024-07-10,회식 장소,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,김 모 협력사 직원,거절 의사를 분명히 표현함,인사팀 면담 기록,직장 내 괴롭힘
2024-11-26,워크숍,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,안 모 사원,문제제기하고 사과를 요구함,회사 출입 기록,직장 내 괴롭힘
2024-06-16,휴게실,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,안 모 알바생,직장 내 상담센터에 상담을 요청함,업무 이메일 내역,직장 내 괴롭힘
2024-10-24,휴게실,업무 시간 외 지속적으로 연락을 시도했습니다.,송 모 거래처 직원,불편함을 표시하고 상사에게 보고함,업무 문서 사본,직장 내 괴롭힘
2024-12-10,체육관,길을 막고 지나가지 못하게 했습니다.,전 모 지인,목격자를 확보하려 노력함,방범용 카메라 영상,일반 괴롭힘
2024-12-26,버스,큰 소리로 위협적인 발언을 했습니다.,이 모 매장직원,큰 소리로 거부 의사를 표현함,목격자 증언,일반 괴롭힘
2024-06-16,아파트 주차장,따라오며 위협감을 주었습니다.,황 모 이웃주민,다른 사람들이 있는 곳으로 이동함,목격자 증언,일반 괴롭힘
2024-07-01,아파트 복도,집까지 따라왔습니다.,임 모 배달원,큰 소리로 거부 의사를 표현함,목격자 증언,일반 괴롭힘
2024-09-08,구내식당,불필요한 사적인 만남을 강요했습니다.,전 모 알바생,직장 내 상담센터에 상담을 요청함,회사 전화 통화 기록,직장 내 괴롭힘
2024-04-08,공원,불필요한 신체 접촉을 시도했습니다.,황 모 지인,경찰에 신고함,방범용 카메라 영상,일반 괴롭힘
2024-08-29,아파트 주차장,길을 막고 지나가지 못하게 했습니다.,김 모 경비원,주변에 도움을 요청함,목격자 연락처,일반 괴롭힘
2024-05-02,아파트 현관,부적절한 신체 노출을 했습니다.,한 모 서비스직원,주변 상점/기관에 도움을 요청함,목격자 증언,일반 괴롭힘
2024-09-25,회의실,강제로 술을 권하며 불쾌한 행동을 했습니다.,박 모 인턴,문제제기하고 사과를 요구함,회사 출입 기록,직장 내 괴롭힘
2024-09-28,영화관,반복적으로 시선을 강요했습니다.,장 모 관리인,방범대/경비실에 신고함,SNS 메시지 캡처,일반 괴롭힘
2024-01-29,아파트 주차장,반복적으로 시선을 강요했습니다.,조 모 매장직원,112에 신고하고 대기함,공공장소 CCTV 영상,일반 괴롭힘
2024-08-05,아파트 현관,반복적으로 접근을 시도했습니다.,황 모 집주인,목격자를 확보하려 노력함,주변 상점 CCTV,일반 괴롭힘
2024-04-30,구내식당,업무 평가와 관련하여 사적인 만남을 요구했습니다.,윤 모 대표,노동조합에 도움을 요청함,회의록,직장 내 괴롭힘
2024-10-08,회의실,업무 시간 외 지속적으로 연락을 시도했습니다.,강 모 차장,답장하지 않고 증거로 보관함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-11,아파트 현관,큰 소리로 위협적인 발언을 했습니다.,정 모 이웃주민,주변에 도움을 요청함,공공장소 CCTV 영상,일반 괴롭힘
2024-02-17,아파트 엘리베이터,반복적으로 접근을 시도했습니다.,서 모 강사,다른 사람들이 있는 곳으로 이동함,방범용 카메라 영상,일반 괴롭힘
2024-11-07,영화관,반복적으로 접근을 시도했습니다.,신 모 세입자,주변 상점/기관에 도움을 요청함,휴대폰 촬영 영상,일반 괴롭힘
2024-03-03,식당,사진을 무단으로 촬영했습니다.,장 모 전 직장동료,주변에 도움을 요청함,휴대폰 촬영 영상,일반 괴롭힘
2024-06-16,사무실,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,박 모 계약직,자리를 피해 즉시 귀가함,회의록,직장 내 괴롭힘
2024-06-17,수영장,고의적으로 밀치거나 충돌했습니다.,서 모 지인,주변 상점/기관에 도움을 요청함,블랙박스 영상,일반 괴롭힘
2024-09-01,사내 메신저,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,송 모 부장,즉시 자리를 피했으며 인사팀에 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-05-27,도서관,불필요한 신체 접촉을 시도했습니다.,조 모 택배기사,큰 소리로 거부 의사를 표현함,방범용 카메라 영상,일반 괴롭힘
2024-08-28,복도,불필요한 사적인 만남을 강요했습니다.,박 모 시설 관리자,노동조합에 도움을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-05-22,아파트 복도,사진을 무단으로 촬영했습니다.,오 모 전 직장동료,사진/동영상 증거를 확보함,차량 블랙박스 영상,일반 괴롭힘
2024-10-15,사내 메신저,업무 평가와 관련하여 사적인 만남을 요구했습니다.,최 모 알바생,즉시 자리를 피했으며 인사팀에 보고함,사내 CCTV 영상,직장 내 괴롭힘
2024-11-16,사무실,부적절한 신체 접촉을 시도했습니다.,조 모 거래처 직원,답장하지 않고 증거로 보관함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-03-17,사무실,성차별적 발언으로 불쾌감을 주었습니다.,한 모 사원,자리를 피해 즉시 귀가함,사내 CCTV 영상,직장 내 괴롭힘
2024-04-23,엘리베이터,성차별적 발언으로 불쾌감을 주었습니다.,박 모 이사,문제제기하고 사과를 요구함,업무 문서 사본,직장 내 괴롭힘
2024-05-03,영화관,길을 막고 지나가지 못하게 했습니다.,신 모 전 연인,목격자를 확보하려 노력함,SNS 메시지 캡처,일반 괴롭힘
2024-03-16,사내 주차장,성차별적 발언으로 불쾌감을 주었습니다.,서 모 과장,회사 내 고충처리절차를 진행함,업무 문서 사본,직장 내 괴롭힘
2024-09-07,프린터실,퇴근 시간에 강제로 배웅을 하려 했습니다.,김 모 협력사 직원,즉시 자리를 피했으며 인사팀에 보고함,사내 CCTV 영상,직장 내 괴롭힘
2024-10-13,카페,고의적으로 밀치거나 충돌했습니다.,강 모 관리인,주변에 도움을 요청함,목격자 연락처,일반 괴롭힘
2024-09-19,체육관,부적절한 신체 노출을 했습니다.,신 모 온라인 지인,주변 상점/기관에 도움을 요청함,주변 상점 CCTV,일반 괴롭힘
2024-03-04,회식 장소,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,권 모 계약직,답장하지 않고 증거로 보관함,회의록,직장 내 괴롭힘
2024-05-30,엘리베이터,불필요한 사적인 만남을 강요했습니다.,오 모 부장,불편함을 표시하고 상사에게 보고함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-07-10,공원,집까지 따라왔습니다.,강 모 매장직원,경찰에 신고함,방범용 카메라 영상,일반 괴롭힘
2024-07-30,식당,사진을 무단으로 촬영했습니다.,정 모 택배기사,주변에 도움을 요청함,블랙박스 영상,일반 괴롭힘
2024-12-18,아파트 주차장,원치 않는 대화를 강요했습니다.,서 모 세입자,사진/동영상 증거를 확보함,목격자 연락처,일반 괴롭힘
2024-02-23,카페테리아,퇴근 시간에 강제로 배웅을 하려 했습니다.,강 모 차장,자리를 피해 즉시 귀가함,회의록,직장 내 괴롭힘
2024-04-12,회식 장소,강제로 술을 권하며 불쾌한 행동을 했습니다.,전 모 시설 관리자,직장 내 상담센터에 상담을 요청함,업무 문서 사본,직장 내 괴롭힘
2024-07-07,사내 주차장,업무 시간 외 지속적으로 연락을 시도했습니다.,조 모 보안 요원,자리를 피해 즉시 귀가함,업무 이메일 내역,직장 내 괴롭힘
2024-09-29,사내 메신저,업무 시간 외 지속적으로 연락을 시도했습니다.,전 모 부장,문제제기하고 사과를 요구함,인사팀 면담 기록,직장 내 괴롭힘
2024-02-16,카페테리아,부적절한 신체 접촉을 시도했습니다.,서 모 협력사 직원,노동조합에 도움을 요청함,회사 출입 기록,직장 내 괴롭힘
2024-02-23,공원,따라오며 위협감을 주었습니다.,황 모 관리인,주변 상점/기관에 도움을 요청함,SNS 메시지 캡처,일반 괴롭힘
2024-04-17,사무실,부적절한 신체 접촉을 시도했습니다.,신 모 외부 강사,즉시 자리를 피했으며 인사팀에 보고함,회사 전화 통화 기록,직장 내 괴롭힘
2024-09-25,휴게실,회의 중 반복적으로 비하성 발언을 했습니다.,조 모 시설 관리자,회사 내 고충처리절차를 진행함,인사팀 면담 기록,직장 내 괴롭힘
2024-07-05,사내 주차장,불필요한 사적인 만남을 강요했습니다.,권 모 차장,문제제기하고 사과를 요구함,업무 이메일 내역,직장 내 괴롭힘
2024-08-23,프린터실,성차별적 발언으로 불쾌감을 주었습니다.,박 모 알바생,문제제기하고 사과를 요구함,업무 문서 사본,직장 내 괴롭힘
2024-02-16,워크숍,외모에 대한 부적절한 발언을 했습니다.,정 모 이사,직장 내 상담센터에 상담을 요청함,업무 이메일 내역,직장 내 괴롭힘
2024-01-19,주택가 골목길,원치 않는 대화를 강요했습니다.,강 모 관리인,주변에 도움을 요청함,블랙박스 영상,일반 괴롭힘
2024-09-05,복도,외모에 대한 부적절한 발언을 했습니다.,임 모 인턴,다른 동료들과 함께 퇴근함,인사팀 면담 기록,직장 내 괴롭힘
2024-01-04,지하철,불필요한 신체 접촉을 시도했습니다.,서 모 택배기사,방범대/경비실에 신고함,목격자 연락처,일반 괴롭힘
2024-04-07,휴게실,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,권 모 알바생,다른 동료들과 함께 퇴근함,동료들의 진술서,직장 내 괴롭힘
2024-02-06,워크숍,업무와 무관한 개인적인 메시지를 보냈습니다.,강 모 이사,자리를 피해 즉시 귀가함,회의록,직장 내 괴롭힘
2024-05-05,휴게실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,안 모 계약직,답장하지 않고 증거로 보관함,회사 출입 기록,직장 내 괴롭힘
2024-08-02,사내 주차장,업무 분담에서 의도적인 차별을 했습니다.,최 모 알바생,불편함을 표시하고 상사에게 보고함,회의록,직장 내 괴롭힘
2024-10-02,사내 메신저,업무 시간 외 지속적으로 연락을 시도했습니다.,윤 모 시설 관리자,답장하지 않고 증거로 보관함,사내 CCTV 영상,직장 내 괴롭힘
2024-08-21,엘리베이터,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,장 모 알바생,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-18,계단,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,김 모 협력사 직원,불편함을 표시하고 상사에게 보고함,회의록,직장 내 괴롭힘
2024-05-15,카페,집까지 따라왔습니다.,강 모 전 연인,다른 사람들이 있는 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-07-31,체육관,반복적으로 시선을 강요했습니다.,강 모 강사,112에 신고하고 대기함,차량 블랙박스 영상,일반 괴롭힘
2024-05-18,주택가 골목길,고의적으로 밀치거나 충돌했습니다.,윤 모 전 연인,다른 사람들이 있는 곳으로 이동함,공공장소 CCTV 영상,일반 괴롭힘
2024-02-03,엘리베이터,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,장 모 시설 관리자,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-11-13,영화관,지속적으로 쳐다보며 불쾌감을 주었습니다.,윤 모 모르는 사람,목격자를 확보하려 노력함,공공장소 CCTV 영상,일반 괴롭힘
2024-11-10,아파트 주차장,따라오며 위협감을 주었습니다.,김 모 경비원,목격자를 확보하려 노력함,블랙박스 영상,일반 괴롭힘
2024-02-19,프린터실,업무 시간 외 지속적으로 연락을 시도했습니다.,오 모 거래처 직원,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-05-13,사무실,회의 중 반복적으로 비하성 발언을 했습니다.,조 모 외부 강사,거절 의사를 분명히 표현함,회사 전화 통화 기록,직장 내 괴롭힘
2024-08-19,복도,외모에 대한 부적절한 발언을 했습니다.,박 모 협력사 직원,자리를 피해 즉시 귀가함,동료들의 진술서,직장 내 괴롭힘
2024-01-10,마트,지속적으로 쳐다보며 불쾌감을 주었습니다.,신 모 이웃주민,즉시 자리를 피해 안전한 곳으로 이동함,차량 블랙박스 영상,일반 괴롭힘
2024-04-29,워크숍,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,윤 모 대리,불편함을 표시하고 상사에게 보고함,사내 CCTV 영상,직장 내 괴롭힘
2024-10-26,카페,부적절한 신체 노출을 했습니다.,황 모 택배기사,경찰에 신고함,블랙박스 영상,일반 괴롭힘
2024-01-28,워크숍,강제로 술을 권하며 불쾌한 행동을 했습니다.,조 모 과장,즉시 자리를 피했으며 인사팀에 보고함,인사팀 면담 기록,직장 내 괴롭힘
2024-11-25,탕비실,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,이 모 시설 관리자,회사 내 고충처리절차를 진행함,인사팀 면담 기록,직장 내 괴롭힘
2024-06-28,프린터실,업무 분담에서 의도적인 차별을 했습니다.,한 모 대리,답장하지 않고 증거로 보관함,회의록,직장 내 괴롭힘
2024-05-29,회식 장소,강제로 술을 권하며 불쾌한 행동을 했습니다.,이 모 사원,답장하지 않고 증거로 보관함,사내 보안카메라 영상,직장 내 괴롭힘
2024-02-01,아파트 현관,따라오며 위협감을 주었습니다.,한 모 이웃주민,주변 상점/기관에 도움을 요청함,방범용 카메라 영상,일반 괴롭힘
2024-03-21,카페테리아,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,권 모 이사,문제제기하고 사과를 요구함,회사 전화 통화 기록,직장 내 괴롭힘
2024-06-13,사내 메신저,다른 직원들 앞에서 성차별적 비하 발언을 했습니다.,장 모 대표,자리를 피해 즉시 귀가함,업무 문서 사본,직장 내 괴롭힘
2024-07-13,복도,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,임 모 거래처 직원,거절 의사를 분명히 표현함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-06-18,탕비실,강제로 술을 권하며 불쾌한 행동을 했습니다.,임 모 보안 요원,노동조합에 도움을 요청함,사내 보안카메라 영상,직장 내 괴롭힘
2024-02-23,공원,지속적으로 쳐다보며 불쾌감을 주었습니다.,장 모 강사,주변에 도움을 요청함,공공장소 CCTV 영상,일반 괴롭힘
2024-05-22,계단,업무 평가와 관련하여 사적인 만남을 요구했습니다.,안 모 과장,회사 내 고충처리절차를 진행함,회의록,직장 내 괴롭힘
2024-09-04,프린터실,업무 평가와 관련하여 사적인 만남을 요구했습니다.,김 모 외부 강사,불편함을 표시하고 상사에게 보고함,동료들의 진술서,직장 내 괴롭힘
2024-06-30,주택가 골목길,주변을 맴돌며 불안감을 조성했습니다.,류 모 세입자,목격자를 확보하려 노력함,방범용 카메라 영상,일반 괴롭힘
2024-09-05,야유회 장소,업무 분담에서 의도적인 차별을 했습니다.,최 모 보안 요원,자리를 피해 즉시 귀가함,동료들의 진술서,직장 내 괴롭힘
2024-02-06,수영장,따라오며 위협감을 주었습니다.,조 모 관리인,다른 사람들이 있는 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-09-14,버스,길을 막고 지나가지 못하게 했습니다.,박 모 경비원,목격자를 확보하려 노력함,휴대폰 촬영 영상,일반 괴롭힘
2024-08-28,휴게실,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,전 모 차장,거절 의사를 분명히 표현함,동료들의 진술서,직장 내 괴롭힘
2024-06-10,사내 메신저,외모에 대한 부적절한 발언을 했습니다.,정 모 대표,거절 의사를 분명히 표현함,회사 출입 기록,직장 내 괴롭힘
2024-01-16,아파트 복도,따라오며 위협감을 주었습니다.,전 모 지인,주변 상점/기관에 도움을 요청함,방범용 카메라 영상,일반 괴롭힘
2024-05-06,야유회 장소,회의 중 반복적으로 비하성 발언을 했습니다.,전 모 거래처 직원,회사 내 고충처리절차를 진행함,사내 CCTV 영상,직장 내 괴롭힘
2024-12-01,워크숍,외모에 대한 부적절한 발언을 했습니다.,강 모 외부 강사,즉시 자리를 피했으며 인사팀에 보고함,동료들의 진술서,직장 내 괴롭힘
2024-07-24,사내 메신저,회의 중 반복적으로 비하성 발언을 했습니다.,조 모 부장,자리를 피해 즉시 귀가함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-02-05,아파트 주차장,부적절한 신체 노출을 했습니다.,한 모 배달원,큰 소리로 거부 의사를 표현함,112 신고 기록,일반 괴롭힘
2024-06-17,도서관,길을 막고 지나가지 못하게 했습니다.,장 모 관리인,큰 소리로 거부 의사를 표현함,블랙박스 영상,일반 괴롭힘
2024-01-17,복도,강제로 술을 권하며 불쾌한 행동을 했습니다.,류 모 알바생,자리를 피해 즉시 귀가함,회의록,직장 내 괴롭힘
2024-11-27,계단,성차별적 발언으로 불쾌감을 주었습니다.,권 모 대리,직장 내 상담센터에 상담을 요청함,업무 문서 사본,직장 내 괴롭힘
2024-09-29,복도,회식 자리에서 특정 자리에 앉도록 강요했습니다.,김 모 이사,즉시 자리를 피했으며 인사팀에 보고함,업무 문서 사본,직장 내 괴롭힘
2024-02-21,지하철,길을 막고 지나가지 못하게 했습니다.,장 모 세입자,큰 소리로 거부 의사를 표현함,목격자 연락처,일반 괴롭힘
2024-08-27,사내 주차장,업무와 무관한 개인적인 메시지를 보냈습니다.,송 모 차장,다른 동료들과 함께 퇴근함,회사 출입 기록,직장 내 괴롭힘
2024-02-15,마트,주변을 맴돌며 불안감을 조성했습니다.,전 모 이웃주민,방범대/경비실에 신고함,목격자 연락처,일반 괴롭힘
2024-12-04,공원,집까지 따라왔습니다.,박 모 집주인,즉시 자리를 피해 안전한 곳으로 이동함,휴대폰 촬영 영상,일반 괴롭힘
2024-02-03,사내 주차장,퇴근 시간에 강제로 배웅을 하려 했습니다.,류 모 시설 관리자,회사 내 고충처리절차를 진행함,업무 이메일 내역,직장 내 괴롭힘
2024-12-08,식당,혐오성 발언으로 모욕감을 주었습니다.,전 모 세입자,사진/동영상 증거를 확보함,주변 상점 CCTV,일반 괴롭힘
2024-05-28,카페테리아,사적인 관계를 강요하며 업무상 불이익을 암시했습니다.,정 모 시설 관리자,문제제기하고 사과를 요구함,회의록,직장 내 괴롭힘
2024-03-09,탕비실,회식 자리에서 특정 자리에 앉도록 강요했습니다.,오 모 대리,불편함을 표시하고 상사에게 보고함,업무 문서 사본,직장 내 괴롭힘
2024-12-01,탕비실,부적절한 신체 접촉을 시도했습니다.,윤 모 인턴,회사 내 고충처리절차를 진행함,업무 이메일 내역,직장 내 괴롭힘
2024-06-23,프린터실,회의 중 반복적으로 비하성 발언을 했습니다.,임 모 사원,직장 내 상담센터에 상담을 요청함,인사팀 면담 기록,직장 내 괴롭힘
2024-06-22,회의실,강제로 술을 권하며 불쾌한 행동을 했습니다.,서 모 사원,노동조합에 도움을 요청함,회사 전화 통화 기록,직장 내 괴롭힘
2024-08-20,마트,따라오며 위협감을 주었습니다.,전 모 서비스직원,사진/동영상 증거를 확보함,SNS 메시지 캡처,일반 괴롭힘
2024-02-10,아파트 복도,원치 않는 대화를 강요했습니다.,신 모 관리인,사진/동영상 증거를 확보함,차량 블랙박스 영상,일반 괴롭힘
2024-01-19,사내 주차장,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,한 모 이사,문제제기하고 사과를 요구함,업무 이메일 내역,직장 내 괴롭힘
2024-05-21,도서관,혐오성 발언으로 모욕감을 주었습니다.,윤 모 세입자,112에 신고하고 대기함,방범용 카메라 영상,일반 괴롭힘
2024-03-30,아파트 복도,집까지 따라왔습니다.,한 모 택배기사,경찰에 신고함,차량 블랙박스 영상,일반 괴롭힘
2024-01-19,카페,주변을 맴돌며 불안감을 조성했습니다.,강 모 배달원,즉시 자리를 피해 안전한 곳으로 이동함,목격자 연락처,일반 괴롭힘
